Daily,dummy_series
01/01/2021,46.32372372
02/01/2021,9.898171144
03/01/2021,10.76391143
04/01/2021,319.9802155
05/01/2021,276.8829934
06/01/2021,216.1818586
07/01/2021,167.1548974
08/01/2021,139.6500491
09/01/2021,105.5857348
10/01/2021,49.39302576
11/01/2021,295.2834953
12/01/2021,295.9782647
13/01/2021,236.4480725
14/01/2021,167.507418
15/01/2021,123.4108369
16/01/2021,33.77663503
17/01/2021,14.27583815
18/01/2021,360.9431686
19/01/2021,303.7406837
20/01/2021,199.3977801
21/01/2021,185.5646378
22/01/2021,113.611774
23/01/2021,126.170692
24/01/2021,121.6124313
25/01/2021,335.9164982
26/01/2021,326.4541541
27/01/2021,304.482606
28/01/2021,203.9522238
29/01/2021,149.8876285
30/01/2021,109.9005229
31/01/2021,96.87317876
01/02/2021,357.002149
02/02/2021,371.4383575
03/02/2021,335.6622276
04/02/2021,303.5469664
05/02/2021,193.1104694
06/02/2021,110.1550888
07/02/2021,138.586776
08/02/2021,465.5177767
09/02/2021,326.9881366
10/02/2021,307.6226655
11/02/2021,282.8664317
12/02/2021,236.1704387
13/02/2021,86.81102549
14/02/2021,126.4066404
15/02/2021,416.0124079
16/02/2021,365.6997045
17/02/2021,316.6250306
18/02/2021,311.4911225
19/02/2021,240.8220736
20/02/2021,222.5668191
21/02/2021,175.8521943
22/02/2021,536.069404
23/02/2021,415.7231065
24/02/2021,404.5364803
25/02/2021,266.96962
26/02/2021,253.7893517
27/02/2021,216.6413731
28/02/2021,233.4799359
01/03/2021,484.0302426
02/03/2021,462.2125566
03/03/2021,381.4055833
04/03/2021,333.9012808
05/03/2021,160.3106043
06/03/2021,215.1352418
07/03/2021,226.8353976
08/03/2021,478.1201778
09/03/2021,432.5634344
10/03/2021,378.4764783
11/03/2021,388.8918051
12/03/2021,252.90884
13/03/2021,181.0269892
14/03/2021,212.9268178
15/03/2021,540.412268
16/03/2021,448.0208561
17/03/2021,380.7878517
18/03/2021,284.7322192
19/03/2021,224.8903166
20/03/2021,199.0240843
21/03/2021,195.758415
22/03/2021,531.1320187
23/03/2021,464.0397146
24/03/2021,451.1151173
25/03/2021,340.488706
26/03/2021,289.7570588
27/03/2021,254.3252217
28/03/2021,182.7378159
29/03/2021,528.3030943
30/03/2021,464.4170428
31/03/2021,427.9332019
01/04/2021,318.2496909
02/04/2021,264.3769294
03/04/2021,219.4631927
04/04/2021,234.0826576
05/04/2021,508.6953289
06/04/2021,466.709154
07/04/2021,457.2071716
08/04/2021,370.3705235
09/04/2021,316.9700975
10/04/2021,278.0491549
11/04/2021,244.5640251
12/04/2021,524.1453512
13/04/2021,477.0637779
14/04/2021,443.0670958
15/04/2021,364.3060551
16/04/2021,293.3322377
17/04/2021,227.5826852
18/04/2021,209.7279635
19/04/2021,569.2384577
